text_code,text,reference_record_id,user_record_id,reference_speaker,user_speaker,location_name,score,weak_region,feedback
aa0,저 식당 음식이 정말 맛있나 봐요.,sub100120a00000,sub100100a00000,a,a,AnechoicChamber,62.7,중반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 중반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
aa1,"아, 저기요. 삼계탕만 파는 식당인데 항상 사람들이 많아요.",sub100120a00001,sub100100a00001,a,a,AnechoicChamber,71.1,중반,전체 발화 길이는 기준보다 깁니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 중반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
aa2,우리 회사 근처에 저런 유명한 식당이 있었네요. 다음에 삼계탕 한번 먹으러 가야겠어요.,sub100120a00002,sub100100a00002,a,a,AnechoicChamber,69.5,후반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 후반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
aa3,저 식당은 그날 준비한 걸 다 팔면 문을 닫아요. 그러니까 늦게 가면 못 드실 수도 있어요.,sub100120a00003,sub100100a00003,a,a,AnechoicChamber,71.1,중반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 중반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ab0,여권을 만들어야 하는데요. 회사 일이 늦게 끝나서 갈 시간이 없어요.,sub100120a00004,sub100100a00004,a,a,AnechoicChamber,71.8,중반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 중반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ab1,요즘은 주말에도 여권을 신청할 수 있는 곳이 있어요. 저도 주말에 거기 가서 여권을 만들었어요.,sub100120a00005,sub100100a00005,a,a,AnechoicChamber,76.9,초반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 대체로 유사하지만 일부 구간을 다듬을 수 있습니다. 초반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ab2,그래요? 어디로 가면 돼요?,sub100120a00006,sub100100a00006,a,a,AnechoicChamber,74.8,초반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 초반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ab3,만들어 주는 데가 여러 곳 있어요. 인터넷에서 찾아보고 가까운 곳으로 가세요.,sub100120a00007,sub100100a00007,a,a,AnechoicChamber,73.1,중반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 중반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ac0,저 다음 주부터 백화점 안에 있는 옷 가게에서 일하기로 했어요.,sub100120a00008,sub100100a00008,a,a,AnechoicChamber,68.4,초반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 초반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ac1,잘 됐네요. 그런데 매일 일해요?,sub100120a00009,sub100100a00009,a,a,AnechoicChamber,69.2,중반,전체 발화 길이는 기준보다 깁니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 중반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ac2,아니요. 월요일부터 금요일까지 하루에 세 시간씩만 하면 돼요.,sub100120a00010,sub100100a00010,a,a,AnechoicChamber,67.2,후반,전체 발화 길이는 기준과 비슷합니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 후반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
ac3,공부와 일을 같이 하려면 힘들겠어요.,sub100120a00011,sub100100a00011,a,a,AnechoicChamber,64.3,중반,전체 발화 길이는 기준보다 깁니다. 기준 발음과 차이가 있어 속도와 모음 명료도를 다시 확인하는 것이 좋습니다. 중반 구간의 유사도가 가장 낮습니다. 이 부분을 기준 발음과 다시 비교해 보세요.
