sentence_id,text,voice,condition,path,source_dataset,record_id,speaker,location_name,text_code
aa0,저 식당 음식이 정말 맛있나 봐요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00000.wav,deeply,sub100120a00000,a,AnechoicChamber,aa0
aa0,저 식당 음식이 정말 맛있나 봐요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00000.wav,deeply,sub100121a00000,a,AnechoicChamber,aa0
aa0,저 식당 음식이 정말 맛있나 봐요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00000.wav,deeply,sub100122a00000,a,AnechoicChamber,aa0
aa0,저 식당 음식이 정말 맛있나 봐요.,a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00000.wav,deeply,sub100100a00000,a,AirbnbStudio,aa0
aa1,"아, 저기요. 삼계탕만 파는 식당인데 항상 사람들이 많아요.",a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00001.wav,deeply,sub100120a00001,a,AnechoicChamber,aa1
aa1,"아, 저기요. 삼계탕만 파는 식당인데 항상 사람들이 많아요.",a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00001.wav,deeply,sub100121a00001,a,AnechoicChamber,aa1
aa1,"아, 저기요. 삼계탕만 파는 식당인데 항상 사람들이 많아요.",a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00001.wav,deeply,sub100122a00001,a,AnechoicChamber,aa1
aa1,"아, 저기요. 삼계탕만 파는 식당인데 항상 사람들이 많아요.",a,AirbnbStudio,data/datasets/deeply/extracted/Dataset/AirbnbStudio/sub100100a00001.wav,deeply,sub100100a00001,a,AirbnbStudio,aa1
aa2,우리 회사 근처에 저런 유명한 식당이 있었네요. 다음에 삼계탕 한번 먹으러 가야겠어요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100120a00002.wav,deeply,sub100120a00002,a,AnechoicChamber,aa2
aa2,우리 회사 근처에 저런 유명한 식당이 있었네요. 다음에 삼계탕 한번 먹으러 가야겠어요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100121a00002.wav,deeply,sub100121a00002,a,AnechoicChamber,aa2
aa2,우리 회사 근처에 저런 유명한 식당이 있었네요. 다음에 삼계탕 한번 먹으러 가야겠어요.,a,AnechoicChamber,data/datasets/deeply/extracted/Dataset/AnechoicChamber/sub100122a00002.wav,deeply,sub100122a00002,a,AnechoicChamber,aa2
